sensor_id;sensor_type;location;lat;lon;timestamp;temperature;humidity
33757;DHT22;62507;51.72853440;9.01158874;2025-06-01T00:00:09;25.30;46.90
27342;DHT22;14822;50.70538800;12.73492880;2025-06-01T00:00:10;15.80;99.90
2523;DHT22;1272;53.332;9.860;2025-06-01T00:00:10;16.20;99.90
41882;DHT22;27562;47.524;12.404;2025-06-01T00:00:10;16.80;99.90
33831;DHT22;20137;48.834;8.732;2025-06-01T00:00:10;17.60;99.90
26332;DHT22;14044;48.36019750;10.90774994;2025-06-01T00:00:10;17.80;99.90
36594;DHT22;22603;47.900;8.146;2025-06-01T00:00:10;18.30;99.90
21811;DHT22;11067;48.788;9.208;2025-06-01T00:00:10;18.70;99.90
37434;DHT22;77267;48.43859455;13.34841121;2025-06-01T00:00:10;18.70;99.90
15107;DHT22;7654;45.308;-75.096;2025-06-01T00:00:10;18.90;92.60
48575;DHT22;34352;51.084;3.712;2025-06-01T00:00:10;18.90;99.90
79020;DHT22;72857;44.740;37.770;2025-06-01T00:00:10;19.68;77.42
41630;DHT22;27322;49.488;8.480;2025-06-01T00:00:10;20.00;99.90
50162;DHT22;36061;48.116;11.612;2025-06-01T00:00:10;20.10;99.90
38183;DHT22;23991;52.430;10.586;2025-06-01T00:00:10;21.20;71.10
10384;DHT22;5238;43.508;4.980;2025-06-01T00:00:10;21.40;91.30
24452;DHT22;13350;50.984;5.822;2025-06-01T00:00:10;21.40;99.90
24448;DHT22;13348;50.984;5.822;2025-06-01T00:00:10;21.70;95.00
24011;DHT22;12217;50.792;4.372;2025-06-01T00:00:10;21.80;99.90
27262;DHT22;14764;44.56144910;11.26836509;2025-06-01T00:00:10;22.70;99.90
23579;DHT22;11967;50.852;4.400;2025-06-01T00:00:10;23.50;99.90
3504;DHT22;85044;53.540;10.224;2025-06-01T00:00:10;25.40;46.30
3868;DHT22;1949;48.152;11.528;2025-06-01T00:00:10;25.50;39.50
66156;DHT22;52957;50.848;20.656;2025-06-01T00:00:10;25;83
87400;DHT22;82197;-5.81284330;-35.20309746;2025-06-01T00:00:10;26.70;99.90
75296;DHT22;64623;44.738;37.804;2025-06-01T00:00:10;3.53;118.99
59961;DHT22;55902;-37.980;-63.602;2025-06-01T00:00:10;7.10;93.00
40123;DHT22;25832;45.490;4.912;2025-06-01T00:00:11;15.90;99.90
3023;DHT22;1521;53.584;9.938;2025-06-01T00:00:11;16.20;99.90
2202;DHT22;1107;48.654;9.250;2025-06-01T00:00:11;16.40;99.90
1594;DHT22;790;47.000;16.084;2025-06-01T00:00:11;16.60;99.90
41936;DHT22;27630;48.69099245;9.40969990;2025-06-01T00:00:11;16.60;99.90
61455;DHT22;79362;50.940;17.334;2025-06-01T00:00:11;16.60;99.90
74822;DHT22;63353;48.702;8.884;2025-06-01T00:00:11;16.80;100.00
18067;DHT22;9158;51.528;7.192;2025-06-01T00:00:11;17.00;1.00
80426;DHT22;69766;51.476;5.704;2025-06-01T00:00:11;17.00;99.90
34460;DHT22;20704;51.260;22.558;2025-06-01T00:00:11;17.20;99.90
68598;DHT22;55568;51.03745700;-2.82959100;2025-06-01T00:00:11;17.25;81.56
61278;DHT22;47156;48.78086020;8.73370545;2025-06-01T00:00:11;17.40;99.90
41780;DHT22;34285;53.30855700;5.78853670;2025-06-01T00:00:11;17.80;99.90
38722;DHT22;83048;51.322;6.500;2025-06-01T00:00:11;18.00;99.90
18434;DHT22;9344;52.294;13.626;2025-06-01T00:00:11;18.60;99.90
4374;DHT22;2201;51.100;6.814;2025-06-01T00:00:11;18.90;98.20
15262;DHT22;7733;51.554;13.590;2025-06-01T00:00:11;19.60;99.90
55737;DHT22;41639;52.84268206;6.88079149;2025-06-01T00:00:11;19.80;99.90
30473;DHT22;17263;48.160;11.452;2025-06-01T00:00:11;19.90;99.90
41034;DHT22;26769;51.22743550;5.30436340;2025-06-01T00:00:11;19.90;99.90
30381;DHT22;17169;50.966;11.038;2025-06-01T00:00:11;20.00;94.10
1930;DHT22;58857;52.18858147;13.16455221;2025-06-01T00:00:11;20.10;99.90
17992;DHT22;9121;50.926;5.340;2025-06-01T00:00:11;22.40;99.90
67899;DHT22;54699;51.796;10.956;2025-06-01T00:00:11;23.70;56.00
26047;DHT22;13821;43.56492637;1.37327760;2025-06-01T00:00:11;25.50;99.90
20946;DHT22;10632;51.276;7.116;2025-06-01T00:00:12;15.20;99.90
